"store_id","hub_id","store_segment","store_plan_price","store_latitude","store_longitude"
"1835","25","FOOD","49","-23.570765","-46.642044"
"1842","13","FOOD","49","-22.887522","-43.283367"
"1844","51","GOOD","29","-22.927336","-43.572533"
"1852","36","FOOD","49","-30.085743","-51.246"
"1855","16","GOOD","29","-23.020708","-43.4897"
"1867","27","GOOD","29","-23.622995","-46.699203"
"1872","26","GOOD","29","-23.563759","-46.652622"
"1873","26","GOOD","29","-23.563759","-46.652622"
"1874","25","GOOD","29","-23.570765","-46.642044"
"1875","25","GOOD",,"-23.570765","-46.642044"
"1881","20","GOOD","29","-22.996847","-43.3612"
"1882","20","GOOD","29","-22.996847","-43.3612"
"1883","31","GOOD",,"-23.631836","-46.735203"
"1888","33","GOOD","29","-23.579067","-46.594006"
"1899","21","GOOD","29","-23.550407","-46.72129"
"1910","17","GOOD","29","-23.59955","-46.636757"
"1911","13","GOOD","29","-22.887522","-43.283367"
"1914","16","FOOD","49","-23.020708","-43.4897"
"1923","3","FOOD","49","-30.038145","-51.20352"
"1924","20","GOOD","29","-22.996847","-43.3612"
"1925","17","GOOD","29","-23.59955","-46.636757"
"1926","17","GOOD","29","-23.59955","-46.636757"
"1928","44","FOOD","49","-25.43514","-49.316788"
"1930","20","FOOD","49","-22.996847","-43.3612"
"1940","31","GOOD","19","-23.631836","-46.735203"
"1964","13","GOOD","29","-22.887522","-43.283367"
"1967","43","GOOD","29","-25.441221","-49.27769"
"1981","13","GOOD",,"-22.887522","-43.283367"
"1984","43","FOOD","49","-25.441221","-49.27769"
"1987","20","GOOD","29","-22.996847","-43.3612"
"1992","43","GOOD","29","-25.441221","-49.27769"
"1996","51","GOOD","29","-22.927336","-43.572533"
"1997","18","GOOD","29","-22.94733","-43.183533"
"1999","43","GOOD","29","-25.441221","-49.27769"
"2002","44","GOOD","29","-25.43514","-49.316788"
"2006","18","GOOD","29","-22.94733","-43.183533"
"2007","26","GOOD","29","-23.563759","-46.652622"
"2008","8","GOOD","29","-22.921474","-43.23482"
"2012","44","GOOD","29","-25.43514","-49.316788"
"2013","31","GOOD","29","-23.631836","-46.735203"
"2014","20","GOOD","29","-22.996847","-43.3612"
"2026","13","FOOD","49","-22.887522","-43.283367"
"2028","13","GOOD","29","-22.887522","-43.283367"
"2036","44","FOOD","49","-25.43514","-49.316788"
"2037","28","GOOD","29","-23.595776","-46.685986"
"2043","31","GOOD","29","-23.631836","-46.735203"
"2047","17","GOOD","29","-23.59955","-46.636757"
"2049","17","GOOD","29","-23.59955","-46.636757"
"2050","33","GOOD","29","-23.579067","-46.594006"
"2052","13","GOOD",,"-22.887522","-43.283367"
